ymin	ymax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
1993.5	1994.5	1994 1967	année	1994	année	1967	1	1743
1994.5	1995.5	1995 1967	année	1995	année	1967	1	1794
1995.5	1996.5	1996 1967	année	1996	année	1967	1	1845
1996.5	1997.5	1997 1967	année	1997	année	1967	1	1896
1997.5	1998.5	1998 1967	année	1998	année	1967	1	1947
1998.5	1999.5	1999 1967	année	1999	année	1967	1	1998
1999.5	2000.5	2000 1967	année	2000	année	1967	1	2049
2000.5	2001.5	2001 1967	année	2001	année	1967	1	2100
2001.5	2002.5	2002 1967	année	2002	année	1967	1	2151
2002.5	2003.5	2003 1967	année	2003	année	1967	1	2202
2003.5	2004.5	2004 1967	année	2004	année	1967	1	2253
2004.5	2005.5	2005 1967	année	2005	année	1967	1	2304
2005.5	2006.5	2006 1967	année	2006	année	1967	1	2355
2006.5	2007.5	2007 1967	année	2007	année	1967	1	2406
2007.5	2008.5	2008 1967	année	2008	année	1967	1	2457
2008.5	2009.5	2009 1967	année	2009	année	1967	1	2508
2009.5	2010.5	2010 1967	année	2010	année	1967	1	2559
2010.5	2011.5	2011 1967	année	2011	année	1967	1	2610
1959.5	1960.5	1960 1968	année	1960	année	1968	1	9
1960.5	1961.5	1961 1968	année	1961	année	1968	1	60
1961.5	1962.5	1962 1968	année	1962	année	1968	1	111
1962.5	1963.5	1963 1968	année	1963	année	1968	1	162
1963.5	1964.5	1964 1968	année	1964	année	1968	1	213
1964.5	1965.5	1965 1968	année	1965	année	1968	1	264
1965.5	1966.5	1966 1968	année	1966	année	1968	1	315
1966.5	1967.5	1967 1968	année	1967	année	1968	1	366
1967.5	1968.5	1	année	1968	année	1968	1	1
1968.5	1969.5	1969 1968	année	1969	année	1968	1	469
1969.5	1970.5	1970 1968	année	1970	année	1968	1	520
1970.5	1971.5	1971 1968	année	1971	année	1968	1	571
1971.5	1972.5	1972 1968	année	1972	année	1968	1	622
1972.5	1973.5	1973 1968	année	1973	année	1968	1	673
1973.5	1974.5	1974 1968	année	1974	année	1968	1	724
1974.5	1975.5	1975 1968	année	1975	année	1968	1	775
1975.5	1976.5	1976 1968	année	1976	année	1968	1	826
1976.5	1977.5	1977 1968	année	1977	année	1968	1	877
1977.5	1978.5	1978 1968	année	1978	année	1968	1	928
1978.5	1979.5	1979 1968	année	1979	année	1968	1	979
1979.5	1980.5	1980 1968	année	1980	année	1968	1	1030
1980.5	1981.5	1981 1968	année	1981	année	1968	1	1081
1981.5	1982.5	1982 1968	année	1982	année	1968	1	1132
1982.5	1983.5	1983 1968	année	1983	année	1968	1	1183
1983.5	1984.5	1984 1968	année	1984	année	1968	1	1234
